illness_name,illness_desc,illness_lethality,illness_symptoms,illness_contagious,illness_treatable,illness_image,illness_genetic
Acute Bronchitis,"Acute bronchitis is sometimes diagnosed as pneumonia, but a chest X-ray can help distinguish between the two.",non-lethal,coughing / runny nose / tiredness / not able to be active,yes,no,https://images.medicinenet.com/images/appictures/bronchitis-s1-illustration.jpg,no
Acute Respiratory Distress Syndrome ,Acute respiratory distress syndrome (ARDS) is a rapidly progressive disease occurring in critically ill patients. The main complication in ARDS is that fluid leaks into the lungs making breathing difficult or impossible.,lethal,severe shortness of breath / cough / fever / rapid breathing / fast heart rate,no,yes,https://www.nejm.org/na101/home/literatum/publisher/mms/journals/content/nejm/2000/nejm_2000.342.issue-18/nejm200005043421806/production/images/img_medium/nejm200005043421806_f4.jpeg,yes
Asbestosis,Asbestosis is a chronic lung condition that is caused by prolonged exposure to high concentrations of asbestos fibers in the air.,lethal,chest pain / dry cough / loss of appetite with weight loss / a dry and crackling sound in the lungs when breathing in,no,no,https://img.medscapestatic.com/pi/meds/ckb/63/16363tn.jpg,no
Asthma,Asthma is a chronic lung disease that makes it harder to move air in and out of your lungs.,non-lethal,tight feeling in chest  / shortness of breath / coughing / wheezing,no,no,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRK1L9sxgMM3s7Kr-j8VAL9BxagtSBDcRzL4JNW0s30PRp3ZLiM,no
Bronchiectasis,Bronchiectasis occurs when the walls of the airways (bronchi) thicken as a result of chronic inflammation and/or infection and results in mucus accumulating.,lethal,coughing up mucus / shortness of breath that gets worse during exacerbations / fevers or chills during exacerbations / wheezing or whistling while you breath / coughing up blood,no,yes,https://www.msdmanuals.com/-/media/manual/professional/images/bronchiectasis.jpg?la=en&thn=0,no
Bronchiolitis,"Bronchioles are small airways that connect your small breathing tubes (airways, or bronchi) to tiny air sacs of the lung. When these small airways are injured or inflamed, it is called bronchiolitis.",non-lethal,shortness of breath / coughing,no,yes,https://emergencymedicinecases.com/wp-content/uploads/2015/01/bronchiolitis_anatomy_pi.jpg,no
Byssinosis,"Byssinosis is a lung disease caused by occupational exposure to dust from cotton, hemp or flax. These dusts cause lung disease by obstructing the small air tubes.",lethal,difficulty of breathing / chest tightness / shivering / muscle pain / joint pain,no,yes,https://ufhealth.org/sites/default/files/graphics/images/en/1103.jpg,no
Coccidioidomycosis,"Coccidioidomycosis, also called valley fever, is a common infection in the southwestern United States that primarily affects the lungs.",non-lethal,cough / chest pain / shortness of breath / fever,no,yes,https://static1.squarespace.com/static/54ebbf42e4b0c686e91e4f76/t/5a7ce28cc83025fff3c30b7c/1518133909116/coccy+lung+spherule.PNG,no
Cystic Fibrosis,"Cystic fibrosis is a genetic (inherited) condition that leads to recurrent sinus and pulmonary infections, as well as gastrointestinal problems.",lethal,chronic coughing / recurring chest colds / wheezing / frequent sinus infections / allergies that last all year,no,no,https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2013/08/26/09/48/ds00287_im04353_mcdc7_cysticfibrosisthu_jpg.jpg,yes
Emphysema,"Emphysema is one of the diseases that comprises COPD (chronic obstructive pulmonary disease). Emphysema involves gradual damage of lung tissue, specifically thinning and destruction of the alveoli or air sacs.",non-lethal,daily cough / shortness of breath,no,no,https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2013/11/15/17/40/ds00916_-ds00296_im04560_mcdc7_emphysemathu_jpg.jpg,yes
Hantavirus Pulmonary Syndrome,"Hantavirus pulmonary syndrome (HPS) is a rare but potentially life-threatening viral illness transmitted to humans by inhaling infected rodent urine, droppings or saliva.",lethal,fever / nausea / vomiting / rash / dry cough / difficulty breathing,no,yes,https://www.omicsgroup.org/articles-admin/disease-images/hantavirus-pulmonary-syndrome-49120.jpeg,no
Histoplasmosis,Histoplasmosis is an infection caused by the fungus Histoplasma capsulatum. Histoplasmosis is the most common of the three major endemic (limited to a specific geographical area) fungal infections of North America.,lethal,headaches / fever / chills / muscle pain / loss of appetite / shortness of breath / dry cough / chest pain / fatigue,no,yes,https://medlineplus.gov/images/Histoplasmosis.jpg,no
Human Metapneumovirus,"Human metapneumovirus (hMPV) is a respiratory virus that causes an upper respiratory infection (a cold). It usually occurs in the winter and early spring, along with the ""flu"" season.",non-lethal,fever / runny nose / sore throat / cough,yes,yes,https://img.medscape.com/thumbnail_library/ps_160401_hmpv_metapneumovirus_800x600.jpg,no
Hypersensitivity Pneumonitis,"Hypersensitivity pneumonitis is a disease of the lungs in which your lungs become inflamed as an allergic reaction to inhaled dust, fungus, molds or chemicals.",non-lethal,dry cough / shortness of breath / chest tightness / fever / chills / tiredness,no,yes,https://www.merckmanuals.com/-/media/manual/professional/images/chronic_hypersensitivity_pneumonitis_high.jpg?la=en&thn=0,no
Influenza,"nfluenza (flu), also referred to as seasonal flu, is a highly contagious respiratory illness caused by influenza viruses.",non-lethal,sudden onset of high fever / headache / muscle aches / joint pain / sore throat / nasal congestion / runny nose / fatigue / nausea / vomiting,yes,yes,https://www.promocell.com/f/2018/07/Influenza-A-Virus-1080x540.jpg,no
Lung Cancer,Lung cancer happens when cells in the lung change (mutate). They grow uncontrollably and cluster together to form a tumor.,lethal,hanging cough / hoarseness / constant chest pain / shortness of breath / wheezing / frequent infections / coughing up blood,no,no,https://cdn1.medicalnewstoday.com/content/images/articles/321/321749/lung-cancer.jpg,no
Lymphangioleiomyomatosis,"LAM is a rare disease affecting women of child-bearing age, usually in their 30s and 40s. It is a progressive disease that can affect your lungs and your breathing.",lethal,shortness of breath / cough / bloody phlegm,no,no,https://www.researchgate.net/profile/Thierry_Urban/publication/12801434/figure/fig9/AS:601585205911602@1520440498926/Chest-CT-scan-of-patient-with-lymphangioleiomyomatosis-showing-multiple-cysts-throughout.png,no
Mesothelioma,Mesothelioma is a rare type of cancer that usually arises from the lining of the lung (pleura) and less commonly the lining of abdomen (peritoneum).,lethal,shortness of breath / dry cough / chest pain / frequent chest cold symptoms,no,no,https://www.asbestos.com/wp-content/uploads/Types-of-Mesothelioma-Pleural.png,no
Middle Eastern Respiratory Syndrome,MERS is a viral disease that can cause lung infection and kidney failure in humans. It is transmitted from camels and bats to humans. It can also be transmitted by human-to-human contact.,lethal,fever / stiffness / cough / shortness of breath / coughing up blood / sore throat / muscle pain / muscle soreness / vomiting diarrhea / stomach pain,yes,no,https://upload.wikimedia.org/wikipedia/commons/3/36/Mers-virus-3D-image.jpg,no
Nontuberculosis Mycobacteria,"NTM lung infection occurs when a person inhales the organism from their environment. Most people do not become ill but for some susceptible individuals, a slowly progressive and destructive disease can occur.",lethal,cough / coughing up blood / shortness of breath / fatigue / low-grade fever / night sweats / weight loss,no,yes,https://bronchiectasisnewstoday.com/wp-content/uploads/2016/11/shutterstock_126578027-2-745x480.jpg,no
Pneumonia,"Pneumonia is an infection of the lungs that may be caused by bacteria, viruses, or fungi.",non-lethal,cough / fever / sweating / shaking chills / shallow breathing / stabbing chest pain when breathing / loss of appetite / low energy / fatigue / nausea / vomiting,yes,yes,https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2016/05/18/13/02/ww5r032t-8col-jpg.jpg,no
Primary Ciliary Dyskinesia,"Primary ciliary dyskinesia (PCD) is a rare genetic (inherited) condition that can lead to chronic ear, sinus, pulmonary disease (bronchitis/bronchiectasis), reversed or flipped organs (situs inversus) and fertility issues.",non-lethal,wet cough from infancy / shortness of breath / wheezing or whistling sound from breathing / recurring chest colds / unresponsive asthma / middle ear infections / chronic nose infections,no,no,https://img.medscapestatic.com/pi/meds/ckb/14/27114tn.jpg,yes
Respiratory Syncytial Virus,Respiratory syncytial virus (RSV) is a common respiratory virus that can affect people of all ages.,non-lethal,nasal congestion / runny nose / barking cough / fever / abnormally fast breathing / difficulty drinking/ lethargy or irritability,yes,yes,https://www.tctmd.com/sites/default/files/efs/public/styles/header_image/public/2018-04/4.4.18%20Respiratory%20Syncytial%20Virus%20Linked%20With%20Cardiovascular%20Complications.jpg?itok=CZOlGtgz,no
Sarcoidosis,"Sarcoidosis is a disease that causes your immune system to overreact, which can lead to health issues. It can cause lung damage, skin rashes, and eye disease and can affect other organs of the body.",non-lethal,cough / shortness of breath / night sweats / fatigue / wheezing / feeling congested,no,yes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Chest_X-ray_of_sarcoidosis_nodules.png/300px-Chest_X-ray_of_sarcoidosis_nodules.png,no
Severe Acute Respiratory Syndrome,Severe acute respiratory syndrome (SARS) is an infectious condition that can cause serious respiratory illness or death. An outbreak of SARS occurred in 2003 and started in China but progressed worldwide before it was contained.,lethal,fever / cough / chills / fatigue / shortness of breath / headache / diarrhea,yes,no,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/Clinical-Large-Images/648x364_SARS_Severe_Acute_Respiratory_Syndrome.jpg?w=1155,no
Silicosis,"Silicosis is a lung disease caused by breathing in tiny bits of silica, a mineral that is part of sand, rock, and mineral ores such as quartz. It mostly affects workers exposed to silica dust in occupations such mining, glass manufacturing, and foundry work.",lethal,difficulty breathing / wheezing / crackles,no,no,https://www.merckmanuals.com/-/media/manual/professional/images/silicosis_eggshell_high.jpg?mw=350&thn=0&la=en,no
Sleep Apnea,"Obstructive sleep apnea (OSA) is a disease that interrupts sleep by stopping and starting your breathing. Those with obstructive sleep apnea have airways that repeatedly collapse when throat muscles relax during sleep, blocking the flow of air. ",non-lethal,snoring / daytime sleepiness / pauses in breathing / difficulties in memory and concentration / unusual moodiness or irritability / dry mouth / morning headaches,no,no,https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2013/08/26/10/40/sl7_sleep_apnea-8col.jpg,no
Sudden Infant Death Syndrome,Sudden Infant Death Syndrome (SIDS) is the sudden and unexpected death of an infant less than 1 year of age from an unknown cause. SIDS remains unpredictable with an unknown cause despite years of research.,lethal,death,no,no,http://www.todayifoundout.com/wp-content/uploads/2013/06/sleeping-baby.jpg,no
