chemical_name,CAS_or_EDF_Substance_ID,inhalation_cancer_potency,inhalation_cancer_potency_units,inhalation_cancer_potency_source,inhalation_reference_concentration,inhalation_reference_concentration_units,inhalation_reference_concentration_source,national_ambient_air_quality_std,national_ambient_air_quality_std_units,national_ambient_air_quality_std_source,chemspider_id,Nat_Agg_PV
OZONE,10028-15-6,,Unknown,Unknown,180,ug/m3,CAPCOA,0.12,"ppm, 1 hr",NAAQS,http://www.chemspider.com/ImagesHandler.ashx?id=13375217&w=250&h=250,Unknown
HYDRAZINE SULFATE,10034-93-2,0.00086,[ug/m3]-1,OEHHA-TCD,0.0002,mg/m3,TRI,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23225&w=250&h=250,Unknown
HYDROBROMIDE ACID,10035-10-6,,Unknown,Unknown,24,ug/m3,CAPCOA,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=2041177&w=250&h=250,"100,000,000 - 250,000,000 lb"
ETHYLBENZENE,100-41-4,,Unknown,Unknown,2000,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7219&w=250&h=250,"10,000,000,000 - 20,000,000,000 lb"
STYRENE,100-42-5,,Unknown,Unknown,900,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7220&w=250&h=250,"10,000,000,000 - 20,000,000,000 lb"
BORIC ACID,10043-35-3,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7346&w=250&h=250,"500,000,000 - 750,000,000 lb"
RADON,10043-92-2,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23240&w=250&h=250,Unknown
BENZYL CHLORIDE,100-44-7,4.9E-05,[ug/m3]-1,OEHHA-TCD,12,ug/m3,CAPCOA,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13840690&w=250&h=250,"50,000,000 - 100,000,000 lb"
CHLORINE DIOXIDE,10049-04-4,,Unknown,Unknown,0.6,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23251&w=250&h=250,"1,000,000,000 - 5,000,000,000 lb"
ALMOND ARTIFICIAL ESSENTIAL OIL,100-52-7,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=235&w=250&h=250,"10,000,000 - 50,000,000 lb"
N-NITROSOPIPERIDINE,100-75-4,0.0027,[ug/m3]-1,OEHHA-TCD,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7245&w=250&h=250,Unknown
SODIUM SELENITE (H2O3SE.2NA),10102-18-8,,Unknown,Unknown,20,ug/m3,OEHHA-CREL,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23308&w=250&h=250,Unknown
